PSRJ,RA,Dec,l,b,Period,Pdot,Edot,DM,DIST,TS,Edot/D2
J1645+1012,250.90900458333329,-12.416300861111111,5.669488572056989,21.217620268717493,0.410860719379,8.13e-17,4.627712983542487e+31,36.17129,3.914,4.271895973593928,3.0208194784849783e+30
J1645-0317,251.39339583333327,10.204455555555555,27.71922457032127,32.547746373643704,0.38768969803442455,1.7804312906883235e-15,1.206235685809934e+33,35.7555,3.846125884729847,1.0953203360550106,8.154271798270782e+31
J1647+6608,251.2585025,-3.2993941666666666,14.11419219023369,26.06162765633195,1.5997983753630112,7.839303880476679e-15,7.558602070383288e+31,22.55,2.061,0.2629843195900321,1.7794488080510204e+31
J1649+2533,251.88549333333333,66.13951083333335,97.18027552792779,37.034156359250666,1.0152573918,5.594e-16,2.1103462565020456e+31,34.4622,25.0,-0.011948213214054704,3.376554010403273e+28
J1651+14,252.43429166666667,25.551944444444445,45.64783552449212,37.10657522806722,0.828,0.0,0.0,48.0,25.0,7.826120767160319,0.0
J1652+2651,252.75,14.366666666666667,32.87974975888028,33.06878638164859,0.9158034972,6.537e-16,3.3599385044054608e+31,40.80244,25.0,0.2995424843393266,5.375901607048737e+28
J1656+00,253.01279166666663,26.861222222222224,47.40161748005924,36.95353042762773,1.49785,0.0,0.0,46.9,3.94,0.0,0.0
J1656+6203,254.1708333333333,0.43333333333333335,19.3358331602146,25.51039569006943,0.77615531125,8.44e-16,7.1261717004689025e+31,35.262,25.0,0.011178625747561455,1.1401874720750243e+29
J1657+3304,254.04287499999995,62.06400277777777,91.93833882930711,37.14396611630707,1.5702755247,1.734e-15,1.7679958659964053e+31,23.9746,2.366,13.531732613337226,3.1582882502049053e+30
J1658+3630,254.46117499999997,33.076013888888895,55.343577577478854,37.12365724336304,0.033027982326828936,1.1573893211927852e-19,1.2682155592713379e+32,3.04387,0.224,2.5940087735652924,2.5275341981651342e+33
J1705-04,254.61049916666659,36.508359722222224,59.62634075314434,37.57931054213677,0.23748,0.0,0.0,42.951,0.21,28.49973392020911,0.0
J1706+59,256.24999999999994,-4.683333333333334,15.709471376993742,21.10452459900031,1.476687,0.0,0.0,31.0,4.012,0.2482684205751866,0.0
J1707+35,256.75,59.166666666666664,88.09730181181727,36.31931792109302,0.1598,0.0,0.0,19.24,1.68,8.232292820699513,0.0
J1708+02,256.75,35.93333333333333,59.26081823050524,35.78383110432131,0.410772,0.0,0.0,29.0,1.454,-5.7104043662548065e-06,0.0
J1708-7539,257.16249999999997,1.8016666666666667,22.265059741589162,23.58157874895801,1.1910239966,1.88e-15,4.392947883189359e+31,37.0,1.322,-0.00045074813533574343,2.5135824801218975e+31
J1709+2313,257.01041666666663,-75.6563888888889,316.67643637913375,-20.22079743607949,0.0046311962778409,3.63e-21,1.4427357691892285e+33,25.3474,2.179,2.1962036200566217,3.0385916406139476e+32
